SECCIÓN,COMPONENTE,QUÉ ES / QUÉ HACE,POR QUÉ EXISTE / DECISIÓN TÉCNICA,ESTADO,ARCHIVO / UBICACIÓN
,,,,,
═══ 1. CONTEXTO DEL PROYECTO ═══,,,,,
Proyecto,Objetivo general,Construir un sistema de NLP que analiza documentos científicos en español en dos tareas: (1) segmentación retórica y (2) detección de contribuciones científicas.,El corpus CORE tiene millones de papers en inglés pero muy poco en español. El proyecto crea datasets anotados + modelos entrenados + un demostrador funcional.,En progreso,Todo el repo
Proyecto,Tarea 1 — Segmentación retórica,Clasificar cada fragmento de un paper en una de 8 etiquetas retóricas: INTRO / BACK / METH / RES / DISC / CONTR / LIM / CONC.,Un fragmento de 'Metodología' y uno de 'Conclusiones' tienen estructuras lingüísticas distintas. Identificarlas permite entender la estructura argumentativa del paper.,En progreso,notebooks/
Proyecto,Tarea 2 — Detección de contribuciones,Clasificación binaria: el fragmento ¿declara explícitamente una contribución científica original? (CONTR=1 vs todo lo demás=0).,Saber qué fragmentos son contribuciones reales permite indexar papers por su aporte — sin leer el paper completo.,En progreso,notebooks/
Proyecto,Corpus fuente,CORE (core.ac.uk) — repositorio de papers académicos de acceso abierto. Se descargaron ~60k documentos en español.,Era el único corpus lo suficientemente grande y en español para poder extraer fragmentos anotables automáticamente.,Completado,data/processed/task1/*.parquet
,,,,,
═══ 2. DATASET TAREA 1 — LO QUE HICIMOS ═══,,,,,
Dataset T1,Estructura del dataset,Cada fila = 1 fragmento de 250-999 palabras con columnas: doc_id | filename | text | label | dataset_type (TRAIN/TEST/EVAL).,El enunciado exige fragmentos de longitud controlada para que todos los modelos reciban inputs comparables.,Completado,data/Dataset_consolidado_v3_LIM2000.csv
Dataset T1,Distribución final (v3+LIM),"BACK: 2306 | CONC: 2000 | CONTR: 2188 | DISC: 2227 | INTRO: 2237 | LIM: 2000 | METH: 2013 | RES: 2062. TOTAL: 17033","LIM estaba en 1924. Agregamos 76 fragmentos desde los parquets del corpus para llegar a 2000. Todos los demás se dejaron exactamente como los entregó Sergio/Mateo.",Completado,data/Dataset_consolidado_v3_LIM2000.csv
Dataset T1,Particiones por label (LIM ejemplo),"LIM: TRAIN=1292 | TEST=524 | EVAL=184. Regla: ningún doc_id puede aparecer en EVAL y en TRAIN/TEST al mismo tiempo.","El enunciado prohíbe explícitamente leakage entre particiones. Si un paper aparece en TRAIN y en EVAL, el modelo ya 'vio' ese texto antes de ser evaluado — las métricas mienten.",Completado,data/Dataset_consolidado_v3_LIM2000.csv
Dataset T1,Regla de word count,Todos los fragmentos: mínimo 250 palabras — máximo 999 palabras.,"El enunciado (página 4) fija el rango. Fragmentos muy cortos no tienen suficiente contexto retórico. Fragmentos muy largos mezclan secciones.",Verificado — 0 fuera de rango,Script de verificación
Dataset T1,Duplicados eliminados,"16 filas duplicadas en el dataset de Mateo: LIM×3 + CONC×2 (Camilo) | DISC×7 (Sergio) | CONTR×4 (Mateo). Fix: drop_duplicates(subset='text', keep='first').","Un texto idéntico en TRAIN y en EVAL invalida la evaluación. Un texto duplicado en TRAIN solo añade ruido sin nueva información.",Completado,Dataset_consolidado_final.csv → v3
,,,,,
═══ 3. ERRORES CRÍTICOS CORREGIDOS (TAREA 1) ═══,,,,,
Bug crítico,desacoplar_patrones — el bug,"La función reemplazaba la LÍNEA ENTERA por [SECCION] cuando detectaba un patrón de encabezado. Resultado: 307 fragmentos quedaron como una sola palabra inútil: '[SECCION]' (LIM=249, CONC=58).","Un fragmento de una sola palabra no puede clasificarse retóricamente — sería ruido puro en el entrenamiento. El enunciado dice: reemplazar SOLO el match del patrón, no toda la línea.",Corregido,notebooks/02_etiquetado_task1.ipynb
Bug crítico,desacoplar_patrones — la corrección,"Nueva regla: buscar la PRIMERA ocurrencia del patrón regex en todo el texto (patron.search(texto)) y reemplazar solo texto[:m.start()] + TOKEN_NEUTRO + texto[m.end():]. El resto del texto queda intacto.","El 'desacoplamiento' existe para que el modelo no aprenda a reconocer LIM/CONC por palabras como 'Limitaciones' en el encabezado — tiene que aprender la estructura lingüística real.",Corregido en ambos datasets,notebooks/02_etiquetado_task1.ipynb
Bug crítico,Leakage EVAL ↔ TRAIN_TEST,"253 doc_ids del EVAL real se habían colado en el parquet de entrenamiento porque EVAL_OFICIAL_PATH apuntaba al archivo pre-anotación (camilo_validacion_humana.csv) en lugar del post-anotación (camilo_eval_set.csv).","Si el modelo se entrena con fragmentos de los mismos papers que se evalúan, las métricas son artificialmente altas y no reflejan capacidad real de generalización.",Corregido — blocklist implementada,notebooks/02_etiquetado_task1.ipynb
Bug crítico,POS_RELATIVA en T2,"416 filas de LIM/CONC en consolidado_tarea_2.csv tenían POS_RELATIVA como fracciones discretas (1 / 0.5 / 0.333) — eran número_de_sección / total_secciones, no posición real. 1 fila de CONTR tenía '75005439.txt' (nombre de archivo) en lugar de un número.","POS_RELATIVA es un feature numérico para el encoder de T2. Valores incorrectos degradan el aprendizaje. Un string en columna float causa crash en PyTorch.",Corregido — valores del parquet + fallback por media,consolidado_tarea_2.csv
,,,,,
═══ 4. DATASET TAREA 2 ═══,,,,,
Dataset T2,Estructura,Cada fila = 1 fragmento con: LABEL_T2 (0/1) | ETIQUETA_T1 | POS_RELATIVA | TIPO_DATASET_T2 (TRAIN/TEST/EVAL). 3125 filas totales.,"T2 usa la etiqueta retórica como feature adicional. Un fragmento CONTR tiene mayor prior de ser contribución — el modelo puede aprender eso.",Completado,consolidado_tarea_2.csv
Dataset T2,Evaluación,608 filas con TIPO_DATASET_T2 == 'EVAL'. Estas fueron validadas por humanos.,El EVAL de T2 es el gold standard. Las métricas del notebook de Gemini (A7) se calculan sobre estas 608 filas exclusivamente.,Completado,consolidado_tarea_2.csv
,,,,,
═══ 5. NOTEBOOKS DE EXPERIMENTACIÓN ═══,,,,,
Notebook A6 (T1),04_a6_api_classification.ipynb,Clasifica fragmentos de T1 con Gemini 2.5 Flash Lite en modo zero-shot asíncrono (CONCURRENCY=15). Checkpoint cada 50 requests. Métricas: F1 macro por etiqueta + confusion matrix.,"La rúbrica pide correr al menos un LLM comercial via API en T1. Zero-shot porque el enunciado prohíbe usar ejemplos del EVAL en el prompt.",Ejecutado — resultados en Drive,notebooks/04_a6_api_classification.ipynb
Notebook A7 (T2),06_task2_gemini_classifier.ipynb,"Misma arquitectura que A6 pero para T2: clasificación binaria CONTR vs no-CONTR. Métricas extra: ROC-AUC, Precision, Recall. Análisis de FP/FN por etiqueta retórica original.","La rúbrica pide experimentar con LLM comercial en T2 también. El análisis FP/FN por etiqueta retórica revela si Gemini confunde METH con CONTR, etc.",Listo para ejecutar en Colab,notebooks/06_task2_gemini_classifier.ipynb
Notebook Encoders (T2),06_task2_encoders_openweight.ipynb,"Fine-tuning de BETO/SciBETO para T2 + comparación con modelos open-weight (LLaMA, Mistral via Ollama). Incluye pos_rel como feature adicional.",El encoder ajustado es la apuesta principal para producción — más barato que Gemini en inferencia y más rápido.,Listo para Colab Pro,notebooks/06_task2_encoders_openweight.ipynb
,,,,,
═══ 6. ARQUITECTURA DE DESPLIEGUE ═══,,,,,
Arquitectura,Principio de diseño,"Sergio construyó el demostrador Streamlit (demo/app.py). Nosotros construimos el backend real (api/). El contrato entre los dos: un JSON con estructura fija. Sergio nunca modifica nada — solo se cambia qué archivo se llama mock_backend.py.","Si Sergio y nosotros trabajamos en el mismo archivo, cualquier cambio nuestro podría romper su interfaz. Al separar por contrato JSON, los dos equipos son independientes.",Completado,demo/ + api/
Arquitectura,Flujo de datos completo,"Usuario escribe texto → app.py llama analyze_document() → backend_production.py hace POST /analyze al FastAPI → main.py parte en párrafos → por cada párrafo: predict_t1() y predict_t2() → inference.py llama al modelo seleccionado → devuelve JSON → app.py renderiza tarjetas con colores","El usuario del demostrador solo ve la interfaz de Sergio. La complejidad de los tres modelos está oculta en el backend.",Completado (con mock activo),Ver diagrama en demo/README.md
Arquitectura,Switch mock → producción,"UN SOLO COMANDO: cp demo/backend_production.py demo/mock_backend.py. El Streamlit arranca automáticamente con el backend real. En Docker esto ocurre solo al levantar los contenedores.","El diseño permite hacer el switch sin tocar ningún archivo de código. En la demo de la rúbrica se puede mostrar ambos modos: mock (sin internet) y real (con Gemini API key).",Listo para activar,demo/backend_production.py
,,,,,
═══ 7. ARCHIVOS DEL DESPLIEGUE — DETALLE TÉCNICO ═══,,,,,
api/schemas.py,Contrato de datos (Pydantic),"Define las clases de datos: Task1Prediction (label + confidence + explanation), Task2Prediction (is_contribution + confidence), Segment (posición + texto + T1 + T2), AnalyzeRequest (texto + model_ids), AnalyzeResponse (segments + summary).","Pydantic valida los tipos automáticamente. Si inference.py devuelve un string donde AnalyzeResponse espera un float, el error ocurre inmediatamente con un mensaje claro — no llega basura al frontend.",Completado,api/schemas.py
api/main.py,Servidor FastAPI — endpoints,"GET /health → verificación. GET /models/{task} → lista de modelos disponibles. POST /analyze → análisis completo (T1+T2 por párrafo). POST /compare → corre los 3 modelos T2 sobre el mismo texto con la misma segmentación T1.","Cuatro endpoints cubren todo lo que necesita la interfaz de Sergio. /compare es lo que alimenta la pestaña 'Comparación de modelos' del dashboard — eso es el A/B test en tiempo real que pide la rúbrica.",Completado,api/main.py
api/main.py,_split_paragraphs(),"Primero intenta partir por doble salto de línea (párrafos reales). Si el texto viene todo junto, lo parte en ~5 chunks de oraciones usando regex sobre puntuación final (. ! ?)","Los papers en el corpus vienen con formatos heterogéneos. El fallback por oraciones garantiza que siempre haya algo que clasificar, aunque el texto no tenga estructura de párrafos.",Completado,api/main.py líneas 50-63
api/main.py,_build_summary(),"Cuenta fragmentos por etiqueta → label_distribution. Identifica el label dominante. Lista todos los fragmentos donde is_contribution=True → lista de contribuciones detectadas.","El summary es lo que Sergio muestra en el panel derecho del dashboard: distribución retórica y contribuciones encontradas.",Completado,api/main.py líneas 66-81
api/inference.py,Sistema de prompts T1,"Prompt de sistema: 'Eres un experto en análisis del discurso científico en español. Clasifica el fragmento en uno de: INTRO/BACK/METH/RES/DISC/CONTR/LIM/CONC. Responde ÚNICAMENTE con JSON: {label: ..., confidence: ...}'.","temperature=0 hace el modelo determinista. max_output_tokens=60 limita el costo — un JSON corto no necesita más. ÚNICAMENTE evita que el modelo escriba texto libre antes del JSON.",Completado,api/inference.py líneas 32-46
api/inference.py,Sistema de prompts T2,"Prompt de sistema para T2: define cuándo label=1 (frases como 'proponemos', 'nuestra contribución es', 'a diferencia de trabajos previos') y cuándo label=0 (resultados, metodología, literatura).","Los criterios explícitos guían al LLM hacia la misma definición que usamos para anotar manualmente. Sin ellos, el modelo usa su propia interpretación de 'contribución'.",Completado,api/inference.py líneas 48-59
api/inference.py,_parse_json(),"Limpia markdown si el modelo envuelve el JSON en triple backtick (``` json ... ```). Luego busca {.*} con regex DOTALL. Parsea con json.loads(). Si falla en cualquier paso: devuelve None → el llamador asigna fallback.","Los LLMs a veces añaden texto antes o después del JSON aunque les dijiste que no. La función es defensiva: extrae el JSON de donde esté en el string.",Completado,api/inference.py líneas 69-77
api/inference.py,"_gemini_t1() y _gemini_t2()","Instancian el cliente Gemini con google.genai (SDK nuevo, no el deprecated google.generativeai). Llaman models.generate_content() en modo sync. Parsean la respuesta con _parse_json().","Sync (no async) porque FastAPI ya maneja concurrencia a nivel de requests HTTP. Un endpoint sync es suficiente para el demostrador.",Completado,api/inference.py líneas 90-141
api/inference.py,"_encoder_t1() y _encoder_t2()","Llaman get_task1/2_encoder() del model_loader. Tokenizan el texto. Pasan por el modelo con torch.no_grad(). Aplican softmax a los logits. argmax() da la clase ganadora. id2label[idx] convierte a etiqueta.","torch.no_grad() desactiva el cálculo de gradientes — en inferencia no se entrena, así que es solo gasto de memoria y tiempo. Softmax convierte los logits crudos a probabilidades sumando 1.",Completado (placeholder hasta tener artefactos),api/inference.py líneas 146-181
api/inference.py,"_ollama_t1() y _ollama_t2()","Leen OLLAMA_URL y OLLAMA_MODEL_T1/T2 del entorno. Construyen el prompt concatenando el system prompt con el texto. Hacen POST a /api/generate de Ollama (stream=False para esperar respuesta completa). Parsean con _parse_json().","Ollama corre localmente. No hay costo por token. El modelo open-weight puede ser LLaMA 3, Mistral, Qwen, etc. — se configura solo con la variable de entorno.",Completado (placeholder hasta elegir modelo),api/inference.py líneas 186-242
api/inference.py,"_T1_DISPATCH y _T2_DISPATCH","Diccionarios que mapean model_id (string) → función: {'commercial-api-gemini-task1': _gemini_t1, 'encoder-scibeto-task1': _encoder_t1, 'openweight-task1': _ollama_t1}.","Para agregar un modelo nuevo: añadir una entrada al diccionario. main.py no cambia. La interfaz de Sergio no cambia. El dispatch es el punto de extensión del sistema.",Completado,api/inference.py líneas 247-257
api/model_loader.py,Carga lazy con registry,"_registry = {} (dict vacío al arrancar). Cuando se llama get_task1_encoder(): si la clave ya está en el dict → devuelve lo que está en memoria. Si no está → carga desde disco con AutoModelForSequenceClassification.from_pretrained() → guarda en _registry.","Un encoder pesa ~400-500MB. Cargarlo toma ~2-3 segundos. Sin el registry, cada request lo recargaría desde disco. Con el registry: solo la primera llamada paga ese costo.",Completado (pendiente: poner artefactos en models/),api/model_loader.py
demo/backend_production.py,Proxy HTTP,"Implementa analyze_document() y compare_task2_models() con la misma firma que el mock de Sergio. Por dentro: requests.post(f'{BACKEND_URL}/analyze', json={...}). El resultado es el JSON del FastAPI.","La firma idéntica al mock es lo que hace posible el cp sin reescribir app.py. Para Sergio es transparente — su código llama analyze_document() y recibe el JSON de siempre.",Completado,demo/backend_production.py
docker/Dockerfile,"Imagen del contenedor","FROM python:3.11-slim (imagen base ligera). COPY api/requirements.txt → RUN pip install (ANTES del COPY del código, para usar cache de Docker). COPY api/ ./api/. RUN mkdir models/. EXPOSE 8000. CMD uvicorn api.main:app.","El orden COPY requirements → pip install → COPY código es intencional: si solo cambias código sin cambiar dependencias, Docker reutiliza la capa del pip install del cache. El rebuild toma segundos, no minutos.",Completado,docker/Dockerfile
docker/docker-compose.yml,"Orquestación de contenedores","Servicio 'api': construye la imagen, puerto 8000, lee variables de .env, monta ../models como volumen. Servicio 'demo': imagen python:3.11-slim, copia backend_production.py sobre mock_backend.py, corre streamlit, depende de 'api'.","Los modelos NO se hornean en la imagen (volumen externo) porque pesan 1-2GB — reconstruir la imagen por cada cambio de modelo sería inviable. El cp del backend_production ocurre automáticamente al levantar demo.",Completado,docker/docker-compose.yml
,,,,,
═══ 8. PRÓXIMOS PASOS — BLOQUEANTES PARA EL DESPLIEGUE REAL ═══,,,,,
Paso 1,Entrenar y elegir el mejor encoder T1,"Correr los notebooks de entrenamiento con el Dataset_consolidado_v3_LIM2000.csv. Comparar métricas (F1 macro por etiqueta) entre BETO, SciBETO, RoBERTa-es, mBERT. El ganador se exporta en formato HuggingFace.","La rúbrica pide al menos un encoder ajustado (fine-tuned) como modelo de producción para comparar con el LLM comercial. Sin el artefacto, el slot encoder en el demostrador no funciona.",PENDIENTE — decisión del equipo,models/task1_encoder/
Paso 2,Entrenar y elegir el mejor encoder T2,"Mismo proceso para T2: fine-tuning de BETO/SciBETO en consolidado_tarea_2.csv. Incluir pos_rel como feature. El ganador va a models/task2_encoder/.","Mismo argumento que T1. El encoder T2 es más crítico porque la clase CONTR está desbalanceada — el LLM puede ser más estable en zero-shot, pero el encoder entrenado debería ser más rápido en producción.",PENDIENTE — decisión del equipo,models/task2_encoder/
Paso 3,Ejecutar notebook A7 (Gemini T2),"Abrir 06_task2_gemini_classifier.ipynb en Colab. Apuntar a consolidado_tarea_2.csv en Drive. Ejecutar. Guardar resultados en Drive en results_a7_task2_gemini/.","Necesitamos las métricas de Gemini en T2 para el análisis comparativo A8 (costo-beneficio entre modelos). Sin esta corrida no hay baseline LLM para T2.",PENDIENTE — listo para ejecutar,notebooks/06_task2_gemini_classifier.ipynb
Paso 4,Decidir el modelo open-weight,"Opciones: (a) Ollama local (LLaMA 3 / Mistral), (b) Groq API (ya usado en el proyecto, gratis, llama3-8b-8192), (c) HuggingFace Inference API. Elegir y llenar OLLAMA_MODEL_T1 / OLLAMA_MODEL_T2 en .env — o adaptar inference.py para Groq.","La rúbrica exige comparar al menos tres familias de modelos: LLM comercial, encoder fine-tuned, y open-weight. El slot open-weight existe pero apunta a Ollama. Si se elige Groq, son 10 líneas de cambio en inference.py.",PENDIENTE — decisión de arquitectura,.env + api/inference.py
Paso 5,Poner los artefactos en su lugar,"cp -r ruta/al/mejor_modelo_t1/ models/task1_encoder/ && cp -r ruta/al/mejor_modelo_t2/ models/task2_encoder/. Los artefactos son: config.json + model.safetensors + tokenizer.json + tokenizer_config.json + vocab.txt.","El model_loader.py ya sabe dónde buscarlos (models/task1_encoder/). En cuanto los archivos estén ahí, el endpoint encoder del demostrador funciona. Cero cambios de código.",PENDIENTE — después de Paso 1 y 2,models/
Paso 6,Hacer el switch y probar localmente,"(1) cp .env.example .env && llenar GOOGLE_API_KEY. (2) pip install -r api/requirements.txt. (3) uvicorn api.main:app --reload. (4) export BACKEND_URL=http://localhost:8000. (5) cp demo/backend_production.py demo/mock_backend.py. (6) streamlit run demo/app.py.","Es la prueba de integración completa antes de la presentación. Debe mostrar: análisis con Gemini funcionando, comparación de los tres modelos T2, descarga del JSON de respuesta.",PENDIENTE — después de Pasos 1-5,Local
Paso 7 (opcional),Levantar con Docker,"docker-compose -f docker/docker-compose.yml up --build. Verificar que API responde en localhost:8000/docs y Streamlit en localhost:8501.","Docker garantiza que el demostrador de la presentación corre igual en cualquier máquina. Si la presentación es en el computador del profesor o en una sala de cómputo, no hay problemas de 'en mi máquina funciona'.",OPCIONAL — recomendado para presentación,docker/
,,,,,
═══ 9. RÚBRICA vs LO QUE CONSTRUIMOS ═══,,,,,
Rúbrica,Dataset T1 — Etiquetado,"Enunciado: 8 etiquetas retóricas, mínimo 250 palabras por fragmento, separación estricta TRAIN/TEST/EVAL sin leakage de doc_id.","Construimos: 17033 fragmentos, 8 etiquetas, 250-999 palabras, 0 leakage verificado. Bugs de desacoplamiento y solapamiento corregidos.",Completado ✓,Dataset_consolidado_v3_LIM2000.csv
Rúbrica,Dataset T2 — Etiquetado binario,"Enunciado: clasificación CONTR vs no-CONTR, EVAL validado por humanos, misma separación de doc_ids.","Construimos: 3125 fragmentos, POS_RELATIVA corregida, 608 EVAL validados por humanos, 0 NaN.",Completado ✓,consolidado_tarea_2.csv
Rúbrica,Experimento A6 — LLM comercial T1,"Enunciado: correr un LLM comercial via API en modo zero-shot sobre el EVAL.","Construimos: notebook con Gemini 2.5 Flash Lite, async pipeline, checkpoint, métricas completas, análisis de errores.",Ejecutado ✓,notebooks/04_a6_api_classification.ipynb
Rúbrica,Experimento A7 — LLM comercial T2,"Enunciado: mismo ejercicio para T2.","Construimos: notebook listo, misma arquitectura que A6, adaptado para clasificación binaria.",Pendiente ejecución ⚠,notebooks/06_task2_gemini_classifier.ipynb
Rúbrica,Encoder fine-tuned,"Enunciado: entrenar un modelo encoder (BERT-family) sobre el dataset anotado.","Construimos: slots en el backend, model_loader con carga lazy, la firma está lista. Falta el artefacto entrenado.",Pendiente entrenamiento ⚠,models/task1_encoder/ + models/task2_encoder/
Rúbrica,Modelo open-weight,"Enunciado: incluir al menos un modelo de código abierto en la comparación.","Construimos: slot _ollama_t1/_ollama_t2 en inference.py. Falta elegir el modelo y configurar .env.",Pendiente decisión ⚠,api/inference.py + .env
Rúbrica,Demostrador interactivo,"Enunciado: sistema que permita ingresar texto y visualizar resultados de ambas tareas con comparación de modelos.","Construimos: backend FastAPI + proxy transparente sobre el Streamlit de Sergio. El demostrador ya funciona con mock — el switch a producción es un cp.",Completado con mock — pendiente switch ⚠,demo/ + api/
Rúbrica,Comparación de modelos,"Enunciado: mostrar diferencias entre arquitecturas sobre el mismo input.","Construimos: endpoint /compare que corre los 3 modelos T2 en paralelo sobre la misma segmentación T1. La pestaña 'Comparación' del dashboard lo visualiza.",Completado ✓,api/main.py /compare
Rúbrica,Análisis A8 — costo/latencia,"Enunciado: analizar tradeoffs entre modelos (costo, latencia, calidad).","El notebook A7 registra latencia y costo por request de Gemini. Los ModelInfo en schemas.py tienen latency_ms y relative_cost. El dashboard los muestra en sidebar.",En progreso ⚠,api/schemas.py + notebooks/
,,,,,
═══ 10. DECISIONES PENDIENTES DEL EQUIPO ═══,,,,,
Decisión,¿Cuál encoder T1 gana?,"Después de correr el notebook de entrenamiento comparar: BETO-base vs SciBETO vs mBERT vs RoBERTa-es. Criterio principal: F1 macro en EVAL T1.","No se puede llenar models/task1_encoder/ hasta tener esta decisión. Es el bloqueante más crítico para el demostrador real.",PENDIENTE,notebooks/ de entrenamiento T1
Decisión,¿Cuál encoder T2 gana?,"Misma comparación para T2. Criterion: F1 binaria + ROC-AUC sobre el EVAL de 608 filas.","El encoder T2 compite directamente contra Gemini en la pestaña de comparación del dashboard.",PENDIENTE,notebooks/06_task2_encoders_openweight.ipynb
Decisión,¿Groq o Ollama para open-weight?,"Groq: más fácil (API key, sin GPU), ya usado en el proyecto. Ollama: completamente local, sin costo, pero requiere GPU o paciencia.",Si se elige Groq: cambiar _ollama_t1/_ollama_t2 en inference.py para usar groq-sdk en lugar de httpx a Ollama. Son ~20 líneas de cambio.,PENDIENTE,api/inference.py
